,Full Name,Born,Current Age,Bats,Bowls,Matches,Died
0835,Richard K Illingworth,23/08/1963,57 years 73 days,Right Handed,Left Arm Orthodox,25 (1991-1996),
1992,Heath Te-Ihi-O-Te-Ra Davis,30/11/1971,48 years 340 days,Right Handed,Right Arm Fast,11 (1994-1997),
2049,Geoffrey I Allott,24/12/1971,48 years 316 days,Right Handed,Left Arm Fast Medium,31 (1997-2000),
3500,Philip Mustard,08/10/1982,38 years 27 days,Left Handed,,10 (2007-2008),
3999,Hamish D Rutherford,27/04/1989,31 years 191 days,Left Handed,,4 (2013-2013),
3931,Andrew M Ellis,24/03/1982,38 years 225 days,Right Handed,Right Arm Fast Medium,15 (2012-2013),
4278,Mark S Chapman,27/06/1994,26 years 130 days,Left Handed,Left Arm Orthodox,6 (2015-),
1025,David Lloyd,18/03/1947,73 years 231 days,Left Handed,Left Arm Orthodox,8 (1973-1980),
2885,Michael John Smith,04/01/1942,,Right Handed,Left Arm Orthodox,5 (1973-1974),12/11/2004
0907,Mohsin Kamal,16/06/1963,57 years 141 days,Right Handed,Right Arm Fast,19 (1984-1989),
0077,Naved Anjum,27/07/1963,57 years 100 days,Right Handed,Right Arm Fast Medium,13 (1984-1992),
1799,Ata-Ur-Rehman,28/03/1975,45 years 221 days,Right Handed,Right Arm Fast Medium,30 (1992-1996),
1114,Matthew P Maynard,21/03/1966,54 years 228 days,Right Handed,Right Arm Medium,14 (1994-2000),
2752,Graham D Lloyd,01/07/1969,51 years 126 days,Right Handed,Right Arm Medium,6 (1996-1998),
3124,Jamie O Troughton,02/03/1979,41 years 247 days,Left Handed,Left Arm Orthodox,6 (2003-2003),
3123,Rikki Clarke,29/09/1981,39 years 36 days,Right Handed,Right Arm Fast Medium,20 (2003-2006),
4536,Mohammad Nawaz,21/03/1994,26 years 228 days,Left Handed,Left Arm Orthodox,15 (2016-),
4566,Liam A Dawson,01/03/1990,30 years 248 days,Right Handed,Left Arm Orthodox,3 (2016-),
4747,Asif Ali,01/10/1991,29 years 34 days,Right Handed,Right Arm Medium Fast,18 (2018-),
0021,Shafiq Ahmed,28/03/1949,71 years 221 days,Right Handed,Right Arm Medium,3 (1977-1978),
2825,Pervez Mir,24/09/1953,67 years 41 days,Right Handed,Right Arm Medium Fast,3 (1975-1977),
2716,Hasan Jamil,25/07/1952,,Left Handed,Left Arm Medium,6 (1977-1978),07/10/2015
0059,Saleem Altaf,19/04/1944,76 years 199 days,Right Handed,Right Arm Fast Medium,6 (1973-1978),
2601,Aamer Hameed,18/10/1954,66 years 17 days,Right Handed,Right Arm Medium Fast,2 (1977-1978),
0042,Liaqat Ali,21/05/1955,65 years 167 days,Right Handed,Left Arm Medium,3 (1977-1978),
2618,Arshad Pervez,01/10/1953,67 years 34 days,Right Handed,Right Arm Medium,2 (1978-1978),
2847,Saadat Ali,06/02/1955,65 years 272 days,Right Handed,Right Arm Off Break,8 (1984-1984),
0855,Salim Jaffer,19/11/1962,57 years 351 days,Right Handed,Left Arm Fast Medium,39 (1986-1990),
2951,Zahid Ahmed,15/11/1961,58 years 355 days,Left Handed,Left Arm Orthodox,2 (1987-1987),
0358,Nicholas G B Cook,17/06/1956,64 years 140 days,Right Handed,Left Arm Orthodox,3 (1984-1989),
0037,Ashraf Ali,22/04/1958,62 years 196 days,Right Handed,,16 (1980-1985),
2931,Wasim Haider,06/06/1967,53 years 151 days,Right Handed,Right Arm Fast Medium,3 (1992-1992),
2622,Ian D Austin,30/05/1966,54 years 158 days,Left Handed,Right Arm Medium,9 (1998-1999),
3835,Adnan Akmal,13/03/1985,35 years 236 days,Right Handed,,5 (2011-2012),
4488,Iftikhar Ahmed,03/09/1990,30 years 62 days,Right Handed,Right Arm Off Break,6 (2015-2020),
4494,Zafar Gohar,01/02/1995,25 years 277 days,Left Handed,Left Arm Orthodox,1 (2015-2015),
4435,Henry G Munsey,21/02/1993,27 years 257 days,Right Handed,Right Arm Medium Fast,25 (2017-),
4788,Dylan Evers Budge,11/09/1995,25 years 54 days,Right Handed,Right Arm Medium,3 (2018-),
4436,Mark R J Watt,29/07/1996,24 years 98 days,Left Handed,Left Arm Orthodox,27 (2016-),
4724,Thomas Barclay Sole,21/06/1996,24 years 136 days,Right Handed,Right Arm Off Break,11 (2018-),
2198,Christopher J Adams,06/05/1970,50 years 182 days,Right Handed,Right Arm Off Break,5 (1998-2000),
2183,Darren L Maddy,23/05/1974,46 years 165 days,Right Handed,Right Arm Medium,8 (1998-2000),
2141,Gerhardus F J Liebenberg,07/04/1972,48 years 211 days,Right Handed,Right Arm Fast Medium,4 (1995-1998),
3050,Martin van Jaarsveld,18/06/1974,46 years 139 days,Right Handed,Right Arm Medium,11 (2002-2004),
3121,Richard L Johnson,29/12/1974,45 years 311 days,Right Handed,Right Arm Medium,10 (2003-2003),
3968,Dean Elgar,11/06/1987,33 years 146 days,Left Handed,Left Arm Orthodox,8 (2012-),
3823,Colin A Ingram,03/07/1985,35 years 124 days,Left Handed,,31 (2010-2013),
3682,Rory K Kleinveldt,15/03/1983,37 years 234 days,Right Handed,Right Arm Fast Medium,10 (2013-2013),
4689,Tobias Skelton Roland-Jones,29/01/1988,32 years 280 days,Right Handed,Right Arm Medium Fast,1 (2017-2017),
1429,Mark R Ramprakash,05/09/1969,51 years 60 days,Right Handed,Right Arm Medium,18 (1991-2001),
2028,Michael Watkinson,01/08/1961,59 years 95 days,Right Handed,Right Arm Off Break,1 (1996-1996),
2813,Steven J Palframan,12/05/1970,50 years 176 days,Right Handed,,7 (1996-1996),
2207,Pieter C Strydom,10/06/1969,51 years 147 days,Right Handed,Left Arm Orthodox,10 (2000-2000),
2939,Henry S Williams,11/06/1967,53 years 146 days,Right Handed,Right Arm Fast Medium,7 (1999-2000),
3437,Alviro N Petersen,25/11/1980,39 years 345 days,Right Handed,Right Arm Medium,21 (2006-2013),
5661,Matthew William Parkinson,24/10/1996,24 years 11 days,Right Handed,Right Arm Leg Break,2 (2020-),
4637,Jon-Jon Trevor Smuts,21/09/1988,32 years 44 days,Right Handed,Left Arm Orthodox,5 (2020-),
4273,Beuran Eric Hendricks,08/06/1990,30 years 149 days,Left Handed,Left Arm Fast Medium,7 (2019-),
4849,Lubabalo Lutho Sipamla,12/05/1998,22 years 176 days,Right Handed,Right Arm Fast,4 (2020-),
2702,Adrian P Grayson,31/03/1971,49 years 218 days,Right Handed,Left Arm Orthodox,2 (2000-2001),
2170,Kalutarage Eric A Upashantha,10/06/1972,48 years 147 days,Right Handed,Right Arm Fast Medium,12 (1995-2001),
3397,Alexander G R Loudon,06/09/1980,40 years 59 days,Right Handed,Right Arm Off Break,1 (2006-2006),
3172,Sahan Hewa Thilina Kandamby,04/06/1982,38 years 153 days,Left Handed,Right Arm Leg Break,39 (2004-2014),
3699,Isuru Udana Tillakaratna,,,Right Handed,Left Arm Fast Medium,18 (2012-),
1854,Bandula Warnapura,01/03/1953,67 years 248 days,Right Handed,Right Arm Medium,12 (1975-1982),
1432,Anura N Ranasinghe,13/10/1956,,Right Handed,Left Arm Medium,9 (1975-1982),09/11/1998
0629,Hettiarachige M Goonatillake,16/08/1952,68 years 80 days,Right Handed,,6 (1982-1982),
0431,Ginigalgodage R A de Silva,12/12/1952,67 years 328 days,Left Handed,Left Arm Orthodox,6 (1975-1982),
1729,Jonathan P Taylor,08/08/1964,56 years 88 days,Left Handed,Left Arm Fast Medium,1 (1993-1993),
2196,Samantha I De Saram,02/09/1973,47 years 63 days,Right Handed,,15 (1999-2001),
4704,Wedagedara Sadeera Rashen Samarawickrama,30/08/1995,25 years 66 days,Right Handed,,7 (2017-),
0873,Sridharan Jeganathan,11/01/1951,,Right Handed,Left Arm Orthodox,5 (1983-1988),14/05/1996
0555,Maurice L C Foster,09/05/1943,77 years 179 days,Right Handed,Right Arm Off Break,2 (1973-1973),
1652,Garfield St Aubrun Sobers,28/07/1936,84 years 99 days,Left Handed,Left Arm Medium Fast/Left Arm Orthodox/Left Arm Wrist Spin (Chinaman),1 (1973-1973),
0606,Lancelot Richard Gibbs,29/09/1934,86 years 36 days,Right Handed,Right Arm Off Break,3 (1973-1975),
1675,David S Steele,29/09/1941,79 years 36 days,Right Handed,Left Arm Orthodox,1 (1976-1976),
1026,Timothy A Lloyd,05/11/1956,63 years 365 days,Left Handed,Right Arm Medium,3 (1984-1984),
2755,Monte A Lynch,21/05/1958,62 years 167 days,Right Handed,Right Arm Off Break,3 (1988-1988),
2029,Alan P Wells,02/10/1961,59 years 33 days,Right Handed,Right Arm Medium,1 (1995-1995),
2092,Franklyn A Rose,02/02/1972,48 years 276 days,Right Handed,Right Arm Fast,27 (1997-2000),
4592,Kesrick Omari Kenal Williams,17/01/1990,30 years 292 days,Right Handed,Right Arm Fast Medium,8 (2017-),
4695,Kyle Antonio Hope,20/11/1988,31 years 350 days,Right Handed,Right Arm Off Break,7 (2017-),
4269,Miguel L Cummins,05/09/1990,30 years 60 days,Left Handed,Right Arm Fast,11 (2014-2017),
1111,Everton H Mattis,11/04/1957,63 years 207 days,Right Handed,Right Arm Off Break,2 (1981-1981),
1679,Graham B Stevenson,16/12/1955,,Right Handed,Right Arm Fast Medium,4 (1980-1981),21/01/2014
1740,John G Thomas,12/08/1960,60 years 84 days,Right Handed,Right Arm Fast,3 (1986-1987),
1222,Ezra A Moseley,05/01/1958,62 years 304 days,Right Handed,Right Arm Fast,9 (1990-1991),
1629,David M Smith,09/01/1956,64 years 300 days,Left Handed,Right Arm Medium,2 (1986-1990),
1862,Steven L Watkin,15/09/1964,56 years 50 days,Right Handed,Right Arm Fast Medium,4 (1994-1994),
0832,Alan P Igglesden,08/10/1964,56 years 27 days,Right Handed,Right Arm Fast Medium,4 (1994-1994),
0973,Clayton B Lambert,10/02/1962,58 years 268 days,Left Handed,Right Arm Off Break,12 (1990-2004),
2917,Carl M Tuckett,18/05/1970,50 years 170 days,Right Handed,Right Arm Fast Medium,1 (1998-1998),
2773,Neil C McGarrell,12/07/1972,48 years 115 days,Right Handed,Left Arm Orthodox,17 (1998-2001),
3627,Lionel S Baker,06/09/1984,36 years 59 days,Left Handed,Right Arm Fast,10 (2008-2009),
3781,Michael J Lumb,12/02/1980,40 years 266 days,Left Handed,Right Arm Medium,3 (2014-2014),
4272,Stephen D Parry,12/01/1986,34 years 297 days,Right Handed,Left Arm Orthodox,2 (2014-2014),
3863,Kraigg Clairmonte Brathwaite,01/12/1992,27 years 339 days,Right Handed,Right Arm Off Break,10 (2016-2017),
4840,John Dillon Campbell,21/09/1993,27 years 44 days,Left Handed,Right Arm Off Break,6 (2019-),
2718,Robert C Haynes,02/11/1964,56 years 2 days,Left Handed,Right Arm Leg Break,8 (1989-1991),
2019,Henry K Olonga,03/07/1976,44 years 124 days,Right Handed,Right Arm Fast Medium,50 (1995-2003),
2085,Christopher E W Silverwood,05/03/1975,45 years 244 days,Right Handed,Right Arm Medium,7 (1996-2001),
0094,Kevin J Arnott,08/03/1961,59 years 241 days,Right Handed,,13 (1987-1993),
0866,Malcolm P Jarvis,06/12/1955,64 years 334 days,Right Handed,Left Arm Medium,12 (1987-1995),
1997,Joseph E Benjamin,02/02/1961,59 years 276 days,Right Handed,Right Arm Fast Medium,2 (1994-1995),
2807,Edward O Odumbe,19/05/1965,55 years 169 days,Right Handed,Right Arm Medium,8 (1996-1996),
2913,Lazaro O Tikolo,27/12/1964,55 years 313 days,Right Handed,Right Arm Medium,3 (1996-1996),
2188,Vijay R R Bhardwaj,15/08/1975,45 years 81 days,Right Handed,Right Arm Off Break,10 (1999-2002),
2187,Mannava S K Prasad,24/04/1975,45 years 194 days,Right Handed,,17 (1998-1999),
2888,Reetinder S Sodhi,18/10/1980,40 years 17 days,Right Handed,Right Arm Medium,18 (2000-2002),
0797,Philip A Horne,21/01/1960,60 years 288 days,Left Handed,,4 (1987-1987),
1564,Sanjeev K Sharma,25/08/1965,55 years 71 days,Right Handed,Right Arm Medium,23 (1988-1990),
0107,Arshad Ayub,02/08/1958,62 years 94 days,Right Handed,Right Arm Off Break,32 (1987-1990),
2654,Utpal Chatterjee,13/07/1964,56 years 114 days,Left Handed,Left Arm Orthodox,3 (1995-1995),
2822,Andrew J Penn,27/07/1974,46 years 100 days,Right Handed,Right Arm Fast Medium,5 (1997-2001),
2908,Alex R Tait,13/06/1972,48 years 144 days,Right Handed,Right Arm Medium,5 (1998-1999),
2673,Christopher J Drum,10/07/1974,46 years 117 days,Right Handed,Right Arm Fast Medium,5 (1999-1999),
2626,Sairaj V Bahutule,06/01/1973,47 years 303 days,Left Handed,Right Arm Leg Break,8 (1997-2003),
3626,Murali Vijay,01/04/1984,36 years 217 days,Right Handed,Right Arm Off Break,17 (2010-2015),
3759,Wriddhiman Prasanta Saha,24/10/1984,36 years 11 days,Right Handed,,9 (2010-2014),
4390,Jayant Yadav,22/01/1990,30 years 287 days,Right Handed,Right Arm Off Break,1 (2016-2016),
3108,Amit Mishra,24/11/1982,37 years 346 days,Right Handed,Right Arm Leg Break,36 (2003-2016),
1563,Parthasarathy H Sharma,05/01/1948,,Right Handed,Right Arm Medium,2 (1976-1976),20/10/2010
0582,Anshuman D Gaekwad,23/09/1952,68 years 42 days,Right Handed,Right Arm Off Break,15 (1975-1987),
0497,Graham N Edwards,27/05/1955,,Right Handed,,6 (1976-1981),06/04/2020
2845,Stuart J Roberts,22/03/1965,55 years 227 days,Right Handed,Right Arm Fast Medium,2 (1990-1990),
2243,Shiv S Das,05/11/1977,42 years 365 days,Right Handed,Right Arm Medium,4 (2001-2002),
2999,Sanjay B Bangar,11/10/1972,48 years 24 days,Right Handed,Right Arm Medium Fast,15 (2002-2004),
4769,Shubman Gill,08/09/1999,21 years 57 days,Right Handed,,2 (2019-),
4539,Khaleel Khursheed Ahmed,05/12/1997,22 years 335 days,Right Handed,Left Arm Medium,11 (2018-),
4759,Prithvi Pankaj Shaw,09/11/1999,20 years 361 days,Right Handed,Right Arm Off Break,3 (2020-),
4104,Mayank Anurag Agarwal,16/02/1991,29 years 262 days,Right Handed,,3 (2020-2020),
4624,Thomas Ackland Blundell,01/09/1990,30 years 64 days,Right Handed,Right Arm Off Break,2 (2020-),
5774,Kyle Alex Jamieson,30/12/1994,25 years 310 days,Right Handed,Right Arm Medium,2 (2020-),
1067,Ashok Malhotra,26/01/1957,63 years 283 days,Right Handed,,20 (1982-1986),
2133,Harvinder Singh,23/12/1977,42 years 317 days,Right Handed,Right Arm Fast Medium,16 (1997-2001),
3054,Jai P Yadav,07/11/1974,45 years 363 days,Right Handed,Right Arm Medium,12 (2002-2005),
1260,Mohammed Nazir,08/03/1946,74 years 241 days,Right Handed,Right Arm Off Break,4 (1980-1984),
0959,Rajiv R Kulkarni,25/09/1962,58 years 40 days,Right Handed,Right Arm Fast Medium,10 (1983-1987),
1421,Lalchand S Rajput,18/12/1961,58 years 322 days,Right Handed,Right Arm Medium,4 (1985-1987),
2072,Mohammad Hussain,08/10/1976,44 years 27 days,Left Handed,Left Arm Orthodox,14 (1997-1998),
2244,Saba Karim,14/11/1967,52 years 356 days,Right Handed,,34 (1997-2000),
2747,Amay R Khurasiya,18/05/1972,48 years 170 days,Left Handed,Left Arm Orthodox,12 (1999-2001),
2880,Laxmi R Shukla,06/05/1981,39 years 182 days,Right Handed,Right Arm Medium,3 (1999-1999),
2814,Gyanendrakumar K Pandey,12/08/1972,48 years 84 days,Left Handed,Left Arm Orthodox,2 (1999-1999),
0064,Surinder Amarnath,30/12/1948,71 years 310 days,Left Handed,Right Arm Medium,3 (1978-1978),
1430,Azmat Rana,03/11/1951,,Left Handed,,2 (1978-1978),30/05/2015
1198,Mushtaq Mohammad,22/11/1943,76 years 348 days,Right Handed,Right Arm Leg Break,10 (1973-1978),
0970,Arun Lal,01/08/1955,65 years 95 days,Right Handed,Right Arm Medium,13 (1982-1989),
1966,Zulquarnain,25/05/1962,58 years 163 days,Right Handed,,16 (1985-1989),
2094,Abey Kuruvilla,08/08/1968,52 years 88 days,Right Handed,Right Arm Fast Medium,25 (1997-1997),
2103,Nilesh M Kulkarni,03/04/1973,47 years 215 days,Left Handed,Left Arm Orthodox,10 (1997-1998),
2071,Hasan Raza,01/03/1982,38 years 248 days,Right Handed,,16 (1996-1999),
0096,Bharathi Arun,14/12/1962,57 years 326 days,Right Handed,Right Arm Medium,4 (1986-1987),
2705,Haafiz Shahid,10/05/1963,57 years 178 days,Right Handed,Right Arm Fast Medium,3 (1988-1988),
2890,Sohail Fazal,11/11/1967,52 years 359 days,Right Handed,Right Arm Fast Medium,2 (1989-1989),
2853,Sajjad Akbar,01/03/1961,59 years 248 days,Right Handed,Right Arm Off Break,2 (1990-1990),
0530,Zahid Fazal,10/11/1973,46 years 360 days,Right Handed,Right Arm Off Break/Right Arm Medium,19 (1990-1994),
2633,Bhupinder Singh,01/04/1965,55 years 217 days,Right Handed,Right Arm Fast Medium,2 (1994-1994),
0038,Basit Ali,13/12/1970,49 years 327 days,Right Handed,Right Arm Off Break,50 (1993-1996),
2697,Ghulam Ali,08/09/1966,54 years 57 days,Right Handed,Right Arm Medium,3 (1993-1995),
2950,Zafar Iqbal,06/03/1969,51 years 243 days,Right Handed,Right Arm Fast Medium,8 (1995-1995),
2796,Naeem Ashraf,10/11/1972,47 years 360 days,Left Handed,Left Arm Orthodox,2 (1995-1995),
0932,Nadeem Khan,10/12/1969,50 years 330 days,Right Handed,Left Arm Orthodox,2 (1993-1995),
2062,Shadab Kabir,12/11/1977,42 years 358 days,Left Handed,,3 (1996-1996),
2009,Aashish R Kapoor,25/03/1971,49 years 224 days,Right Handed,Right Arm Off Break,17 (1995-2000),
2069,Shahid Nazir,04/12/1977,42 years 336 days,Right Handed,Right Arm Fast Medium,17 (1996-2000),
2764,Manzoor Akhtar,16/04/1968,52 years 202 days,Right Handed,Right Arm Leg Break,7 (1997-1998),
2840,Sanjay S Raul,06/10/1976,44 years 29 days,Right Handed,Right Arm Off Break,2 (1998-1998),
2768,Jacob J Martin,11/05/1972,48 years 177 days,Right Handed,Right Arm Leg Break,10 (1999-2001),
2982,Taufeeq Umar,20/06/1981,39 years 137 days,Left Handed,Right Arm Off Break,22 (2001-2011),
4253,Usman Khan Shinwari,05/01/1994,26 years 304 days,Right Handed,Left Arm Medium Fast,17 (2017-),
0359,Stephen J Cook,31/07/1953,67 years 96 days,Right Handed,Right Arm Off Break,4 (1991-1993),
2843,Clive E B Rice,23/07/1949,,Right Handed,Right Arm Fast Medium,3 (1991-1991),28/07/2015
2749,Thirunavukkar A S U Kumaran,30/12/1975,44 years 310 days,Right Handed,Right Arm Medium,8 (1999-2000),
3436,Lungile L  Bosman,14/04/1977,43 years 204 days,Right Handed,Right Arm Medium,14 (2006-2010),
1401,Meyrick W Pringle,22/06/1966,54 years 135 days,Right Handed,Right Arm Fast Medium,17 (1992-1994),
2989,Deep Dasgupta,07/06/1977,43 years 150 days,Right Handed,,5 (2001-2001),
3476,Vernon D Philander,24/06/1985,35 years 133 days,Right Handed,Right Arm Fast Medium,30 (2007-2015),
4730,Khayelihle Zondo,07/03/1990,30 years 242 days,Right Handed,Right Arm Off Break,5 (2018-),
2251,Sarandeep Singh,21/10/1979,41 years 14 days,Right Handed,Right Arm Off Break,5 (2002-2003),
3477,Thandi Tshabalala,19/11/1984,35 years 351 days,Right Handed,Right Arm Off Break,4 (2007-2007),
1446,Vivek Razdan,25/08/1969,51 years 71 days,Right Handed,Right Arm Fast Medium,3 (1989-1990),
1434,Dammika Ranatunga,12/10/1962,58 years 23 days,Right Handed,Right Arm Off Break,4 (1990-1990),
1855,Khahakachchi P J Warnaweera,23/11/1960,59 years 347 days,Left Handed,Right Arm Off Break,6 (1990-1993),
2703,Aruna A W Gunawardene,31/03/1969,51 years 218 days,Right Handed,Right Arm Medium,1 (1994-1994),
2684,Ungamandadige N K Fernando,10/03/1970,50 years 239 days,Right Handed,,2 (1994-1994),
1998,Karuppiahyage Ravindra Pushpakumara,21/07/1975,45 years 106 days,Right Handed,Right Arm Fast Medium,31 (1994-1999),
4335,Panagamuwa Lahiru Sampath Gamage,05/04/1988,32 years 213 days,Right Handed,Right Arm Fast Medium,9 (2014-2017),
4115,Karn V Sharma,23/10/1987,33 years 12 days,Left Handed,Right Arm Leg Break,2 (2014-2014),
4684,Washington Sundar,,,Left Handed,Right Arm Off Break,1 (2017-),
1908,Roger G C E Wijesuriya,18/02/1960,60 years 260 days,Right Handed,Left Arm Orthodox,8 (1982-1985),
2660,Noel A David,26/02/1971,49 years 252 days,Right Handed,Right Arm Off Break,4 (1997-1997),
2149,Suresh A Perera,16/02/1978,42 years 262 days,Right Handed,Right Arm Medium,20 (1998-2001),
3163,W Saman Jayantha,26/01/1974,46 years 283 days,Right Handed,Right Arm Off Break,17 (2004-2004),
3574,Pragyan P Ojha,05/09/1986,34 years 60 days,Left Handed,Left Arm Orthodox,18 (2008-2012),
3608,Subramaniam Badrinath,30/08/1980,40 years 66 days,Right Handed,Right Arm Off Break,7 (2008-2011),
4574,Muthuthanthrige Vishwa Thilina Fernando,18/09/1991,29 years 47 days,Right Handed,Left Arm Medium Fast,8 (2017-),
3972,Eldeniya Medagedara Dilshan Yasika Munaweera,24/04/1989,31 years 194 days,Right Handed,Right Arm Off Break,2 (2017-2017),
4699,Pawuluge Malinda Pushpakumara,24/03/1987,33 years 225 days,Right Handed,Left Arm Orthodox,2 (2017-2017),
2937,Sunil R D Wettimuny,02/02/1949,71 years 276 days,Right Handed,Right Arm Medium,3 (1975-1979),
2816,Sudath P Pasqual,15/10/1961,59 years 20 days,Left Handed,Right Arm Medium,2 (1979-1979),
2736,Sunil A Jayasinghe,15/03/1955,,Right Handed,,2 (1979-1979),20/04/1995
2810,Antony R M Opatha,05/08/1947,,Right Handed,Right Arm Medium,5 (1975-1979),11/09/2020
2665,Deva L S De Silva,17/11/1956,,Right Handed,Right Arm Fast Medium,2 (1979-1979),12/04/1980
2698,Frederick R M D Goonatillake,15/08/1951,69 years 81 days,Right Handed,Right Arm Medium,1 (1979-1979),
2934,Kaushalya Weeraratne,29/01/1981,39 years 280 days,Left Handed,Right Arm Medium Fast,15 (2000-2008),
2801,Mohamed N Nawaz,20/09/1973,47 years 45 days,Left Handed,Right Arm Off Break,3 (1998-2002),
3000,Tinu Yohannan,18/02/1979,41 years 260 days,Right Handed,Right Arm Medium Fast,3 (2002-2002),
3789,Naman V Ojha,20/07/1983,37 years 107 days,Right Handed,,1 (2010-2010),
3790,Pankaj Singh,06/05/1985,35 years 182 days,Right Handed,Right Arm Medium Fast,1 (2010-2010),
2645,Barrington S Browne,16/09/1967,53 years 49 days,Right Handed,Right Arm Fast,4 (1994-1994),
3767,Abhimanyu Mithun,25/10/1989,31 years 10 days,Right Handed,Right Arm Medium,5 (2010-2011),
3923,Rahul Sharma,30/11/1986,33 years 340 days,Right Handed,Right Arm Leg Break,4 (2011-2012),
4825,Obed Christopher McCoy,04/01/1997,23 years 305 days,Left Handed,Left Arm Fast Medium,2 (2018-),
4945,Shivam Dube,26/06/1993,27 years 131 days,Left Handed,Right Arm Medium,1 (2019-2019),
4557,Deepak Lokandersingh Chahar,07/08/1992,28 years 89 days,Right Handed,Right Arm Medium,3 (2018-),
4830,Khary Pierre,22/09/1991,29 years 43 days,Left Handed,Left Arm Orthodox,3 (2019-2020),
3004,Ryan O Hinds,17/02/1981,39 years 261 days,Left Handed,Left Arm Orthodox,14 (2001-2004),
3358,Sewnarine Chattergoon,03/04/1981,39 years 215 days,Left Handed,Right Arm Leg Break,18 (2006-2009),
3158,Dave Mohammed,08/10/1979,41 years 27 days,Left Handed,Left Arm Wrist Spin (Chinaman),7 (2006-2008),
2256,Colin E L Stuart,28/09/1973,47 years 37 days,Right Handed,Right Arm Fast Medium,5 (2001-2001),
3732,Royston T Crandon,31/05/1983,37 years 157 days,Right Handed,Right Arm Off Break,1 (2009-2009),
2780,Mohammed A Meman,26/06/1952,68 years 131 days,Right Handed,Right Arm Off Break,1 (1987-1987),
2644,Robin D Brown,11/03/1951,69 years 238 days,Right Handed,Right Arm Medium,7 (1983-1987),
0233,Gavin A Briant,11/04/1969,51 years 207 days,Right Handed,Right Arm Medium,5 (1993-1993),
0389,Gary J Crocker,16/05/1962,58 years 172 days,Left Handed,Left Arm Medium,6 (1992-1993),
3138,Gavin M Ewing,21/10/1981,39 years 14 days,Right Handed,Right Arm Off Break,7 (2004-2005),
3838,Jaydev D Unadkat,18/10/1991,29 years 17 days,Right Handed,Left Arm Medium,7 (2013-2013),
4227,Michael T Chinouya,09/06/1986,34 years 148 days,Right Handed,Right Arm Fast Medium,2 (2013-2013),
3582,Peter Connell,13/08/1981,39 years 83 days,Right Handed,Right Arm Medium Fast,13 (2008-2010),
3458,Kenneth E D Carroll,22/03/1983,37 years 227 days,Right Handed,Right Arm Leg Break,6 (2007-2007),
3384,Peter G Gillespie,11/05/1974,46 years 177 days,Right Handed,Right Arm Medium,5 (2006-2007),
3614,Regan M West,27/04/1979,41 years 191 days,Left Handed,Left Arm Orthodox,10 (2008-2009),
3471,Marthinus J Fourie,23/07/1979,41 years 104 days,Right Handed,Right Arm Medium Fast,7 (2007-2008),
3484,Gary E Kidd,18/09/1985,35 years 47 days,Left Handed,Left Arm Orthodox,6 (2007-2008),
3406,Darren J Reekers,26/05/1973,47 years 162 days,Right Handed,Right Arm Medium,19 (2006-2009),
3048,Hendrik J Mol,29/03/1977,43 years 220 days,Left Handed,Left Arm Medium,11 (2002-2008),
3485,Geert-Maarten C Mol,12/10/1983,37 years 23 days,Right Handed,Right Arm Medium,6 (2007-2008),
3814,Albert van der Merwe,01/06/1979,41 years 156 days,Right Handed,Right Arm Off Break,9 (2010-2011),
3818,Thomas J Heggelman,16/01/1987,33 years 293 days,Right Handed,Right Arm Medium,5 (2010-2011),
3495,Maurits M A Jonkman,20/03/1986,34 years 229 days,Right Handed,Right Arm Medium,4 (2007-2010),
4477,George H Worker,23/08/1989,31 years 73 days,Left Handed,Left Arm Orthodox,10 (2015-),
4685,Scott Christopher Kuggeleijn,03/01/1992,28 years 306 days,Right Handed,Right Arm Fast Medium,2 (2017-2017),
4686,Seth Hayden Arnold Rance,23/08/1987,33 years 73 days,Right Handed,Right Arm Medium,2 (2017-2017),
4219,James Norman Knight Shannon,12/02/1990,30 years 266 days,Right Handed,,1 (2013-2013),
4329,Graeme J McCarter,10/10/1992,28 years 25 days,Right Handed,Right Arm Medium,1 (2014-2014),
3584,Ryan S Haire,01/05/1981,39 years 187 days,Left Handed,Right Arm Leg Break,2 (2008-2008),
3656,Jan H Stander,04/01/1982,38 years 305 days,Right Handed,Right Arm Medium Fast,5 (2009-2012),
3808,Oliver James Hairs,14/04/1991,29 years 204 days,Left Handed,Right Arm Off Break,5 (2010-2010),
3593,Gordon Goudie,12/08/1987,33 years 84 days,Right Handed,Right Arm Fast Medium,16 (2008-2013),
3420,Rana Omer Hussain,03/12/1984,35 years 337 days,Right Handed,,8 (2006-2010),
4723,Michael Alexander Jones,05/01/1998,22 years 304 days,Right Handed,Right Arm Off Break,8 (2018-),
3946,Craig D Wallace,27/06/1990,30 years 130 days,Right Handed,,28 (2012-),
4703,Stuart Gordon Whittingham,10/02/1994,26 years 268 days,Right Handed,Right Arm Fast Medium,5 (2017-),
4804,Tinashe Stephen Kamunhukamwe,10/07/1995,25 years 117 days,Right Handed,Right Arm Off Break,6 (2018-),
4855,Shane Charles Getkate,02/10/1991,29 years 33 days,Right Handed,Right Arm Medium Fast,3 (2019-),
4336,Brian Bara Chari,14/02/1992,28 years 264 days,Right Handed,Right Arm Off Break,13 (2015-),
3410,William F Stelling,30/06/1969,51 years 127 days,Right Handed,Right Arm Fast Medium,15 (2006-2007),
